"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "expe" "plong" "day"
"4628" 2 1569 15690.125 102.682241742196 201.408656849157 115.207159719794 201.305416328433 -13.1892683946384 115.316460229146 11.7972347262521 49.5247740975388 440.125 6 "Sti" "CT" 1 4 33 NA
"4629" 2 1570 15699.8571428571 238.848291545259 189.097007147637 244.723011495117 187.745156910061 -14.0230683619274 122.606543188261 -3.75121108668608 82.0610473992776 464 6 "Sti" "CT" 1 4 33 NA
"4630" 2 1571 15710 343.567214201193 165.853607219952 342.024894864674 166.714783261902 -7.92599676807512 69.2986042693337 -11.1567768026568 54.6784659377291 471.888888888889 6 "Sti" "CT" 1 4 33 NA
"4631" 2 1572 15720.2222222222 379.513901799319 165.847366610351 379.469024002191 165.826008731986 -2.57206364256548 22.4880763564799 -3.54989096724455 22.3816590910577 454.222222222222 6 "Sti" "CT" 1 4 33 NA
"4632" 2 1573 15730 387.83093277652 172.056638081427 387.55082926517 171.197214143946 0.0346695549520257 0.839730570944255 -1.18729160916018 2.56331428328104 454.611111111111 6 "Sti" "CT" 1 4 33 NA
"4633" 2 1574 15740 383.097726107101 168.326600062677 384.183992892064 167.632263003026 0.2072164196169 7.86716825206702 1.19083673831562 7.12314584560687 455.090909090909 6 "Sti" "CT" 1 4 33 NA
"4926" 2 1867 18670 15.1334054988248 197.409557913482 14.9403386053521 197.209525136006 0.00581187287380704 0.689327614524233 -0.178155528165433 1.01198789356403 422 7 "Sti" "CT" 1 4 33 NA
"4927" 2 1868 18680 14.1085497215869 196.82243891421 14.2306253489201 197.083785389704 -0.0150794444068115 1.64306374086192 1.03469858659201 2.0973670623533 424.863636363636 7 "Sti" "CT" 1 4 33 NA
"4928" 2 1869 18690 30.5330029801601 204.412743099184 37.2759363278492 205.839093997235 -5.85013202530861 51.1488959695441 8.68038274582863 24.3214177346718 426 7 "Sti" "CT" 1 4 33 NA
"4929" 2 1870 18699.5 112.886271612186 210.81890082834 119.252733014192 210.634012350737 -11.1718421177691 97.6776913406154 -1.0403496924875 40.4553301989043 395.95 7 "Sti" "CT" 1 4 33 NA
