"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"2817" "1" 2822 28220 382.004827955491 40.7027489161261 381.989834159475 40.6327785733653 0.107269517869844 0.963971183816511 0.193307357397714 1.11402558684881 362.454545454545 "10" "Sti" "4" "2" "9" "CT" 65
"3611" "1" 3622 36220 379.175123652294 105.982646061484 378.892455588124 105.707252894411 0.279079381848733 2.86076992811348 0.00928715052111784 2.8746318321929 231.875 "11" "Sti" "4" "2" "9" "CT" 65
"3612" "1" 3623 36230.5 378.866679453847 104.732340485521 379.21711824437 104.628690572363 -0.249353843676613 2.24080358196255 0.969801978483815 1.97377007557509 249.625 "11" "Sti" "4" "2" "9" "CT" 65
"3613" "1" 3624 36240 382.289255606282 104.133183711488 382.198219027276 104.24259345175 -0.268134866675371 2.8627808539685 -0.610383723731786 2.67858048700504 278.409090909091 "11" "Sti" "4" "2" "9" "CT" 65
"3614" "1" 3625 36249 382.519918628708 104.850685573123 382.361829978311 104.704914239126 0.0627043264331366 0.610937151010489 -0.211835510652634 0.587165810461613 271.071428571429 "11" "Sti" "4" "2" "9" "CT" 65
"3615" "1" 3626 36260 380.500505750239 104.030445806038 380.912831595001 104.188376581488 -0.164652601887267 5.25803384414235 1.6798149394329 5.50091662483305 256.136363636364 "11" "Sti" "4" "2" "9" "CT" 65
"3616" "1" 3627 36270 388.730590563485 105.341630455874 388.708653181555 104.973428643737 -0.842837592102946 7.62971280424341 -1.39699568935276 7.53795976593148 161.277777777778 "11" "Sti" "4" "2" "9" "CT" 65
"3617" "1" 3628 36280 390.822697346531 103.315475447621 390.745190566981 103.493106414787 0.109162920473073 1.53062394159844 -0.286455766543668 1.43960661184587 181.909090909091 "11" "Sti" "4" "2" "9" "CT" 65
"3618" "1" 3629 36290 389.645451817828 104.285176192404 389.684558868995 104.368821557272 0.08652397443564 0.777542583592435 -0.023403486212203 0.534424784230339 216.722222222222 "11" "Sti" "4" "2" "9" "CT" 65
"3773" "2" 116 1160.5 382.195245402817 174.185830064828 382.504619802443 174.144710906556 -1.27218016928131 11.432371918535 0.842822202192508 17.1741484859305 309.7 "1" "Sti" "4" "2" "9" "CT" 57
"3774" "2" 117 1170 389.727501710851 188.438596647071 390.547114539323 188.421450831078 -0.486093909868875 4.85144248777948 -0.495392668648833 9.86275922603858 294.611111111111 "1" "Sti" "4" "2" "9" "CT" 57
