"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "y2" "x2"
"5262" 2 1626 16260 86.1065833560959 153.202198089921 5.60211325316885 49.4727286557558 0.239352339543956 28.0203108737721 271.954545454545 6 "Sti" "G2C" 4 7 25 45 NA NA
"5263" 2 1627 16270 53.9003024084628 151.629482431914 1.91781772803449 16.9364080629001 1.55246407297068 6.34912847130784 269.555555555556 6 "Sti" "G2C" 4 7 25 45 NA NA
"5264" 2 1628 16280 40.113573680741 153.061483916089 0.140036937440576 14.7078401477615 4.36992306384764 20.5598751698067 224.590909090909 6 "Sti" "G2C" 4 7 25 45 NA NA
"5265" 2 1629 16290 66.5892885042652 182.647074417284 -6.05908051490072 53.5082445981435 4.7900983346395 28.1379952232132 273.777777777778 6 "Sti" "G2C" 4 7 25 45 NA NA
"5266" 2 1630 16300 144.335653654789 170.298158593748 -9.92156481061566 87.6181650626993 -1.17498089679745 47.0639470467378 337.318181818182 6 "Sti" "G2C" 4 7 25 45 NA NA
"5267" 2 1631 16310 213.217950117524 163.903164359334 -5.46319623516613 48.2459409014333 -2.06509146754098 35.8495667179476 306.111111111111 6 "Sti" "G2C" 4 7 25 45 NA NA
"5268" 2 1632 16320 252.23132283687 164.192787648823 -2.56060903064258 22.6129515847972 -4.36392594785195 17.1777378594497 328.818181818182 6 "Sti" "G2C" 4 7 25 45 NA NA
"5562" 2 1926 19260 10.5355105384525 179.428565993055 -0.0198953439289321 0.50272591875733 -0.018527811348811 9.46088779617298 311.227272727273 7 "Sti" "G2C" 4 7 25 45 NA NA
"5563" 2 1927 19270 12.57330674825 171.545077270657 -0.262296486925303 2.50047346171511 0.412771048982949 10.7175619451476 274.722222222222 7 "Sti" "G2C" 4 7 25 45 NA NA
"5564" 2 1928 19280 14.5686043185647 167.398481635831 -0.291723713928404 4.62126387467688 -0.910430235182671 25.4498520555487 240.727272727273 7 "Sti" "G2C" 4 7 25 45 NA NA
"5565" 2 1929 19290 16.7054238258145 190.380819553583 -2.3227297556298 21.970062158 6.39762059172967 14.0560495564376 251.722222222222 7 "Sti" "G2C" 4 7 25 45 NA NA
"5566" 2 1930 19300 80.4908796728965 163.853909977718 -10.4395687080102 92.1927006174613 2.23846068441591 34.8511299830728 199.954545454545 7 "Sti" "G2C" 4 7 25 45 NA NA
"5567" 2 1931 19310 166.881944697967 182.490959736935 -8.0147289461431 70.7787387514313 -1.21522711063264 75.1449302044427 192.055555555556 7 "Sti" "G2C" 4 7 25 45 NA NA
"5568" 2 1932 19320 228.646306383354 218.40067990849 -7.19383581543334 63.5293631541055 -0.183074043453246 58.6489229568205 197.045454545455 7 "Sti" "G2C" 4 7 25 45 NA NA
"5862" 2 2226 22260 33.7460080380679 219.905285520256 0.0221176754068552 1.20518867417923 -0.470510356065674 0.588476832884709 347.272727272727 8 "Sti" "G2C" 4 7 25 45 NA NA
"5863" 2 2227 22270 30.8236042817252 218.490516880618 0.0922830460208567 4.39096213000594 1.17994570032443 5.51902081867914 248.722222222222 8 "Sti" "G2C" 4 7 25 45 NA NA
"5864" 2 2228 22280 51.1813503220796 211.603152026307 -5.15975926706328 45.5662637673471 4.3166506925894 7.81668881430295 277.954545454545 8 "Sti" "G2C" 4 7 25 45 NA NA
"5865" 2 2229 22290 95.3973962839925 205.06899780822 -4.7094116614337 41.5892065592518 0.345821902233851 4.1796228729238 259.833333333333 8 "Sti" "G2C" 4 7 25 45 NA NA
"5866" 2 2230 22300 152.075279615594 174.726670388853 -6.61768446008091 58.4413225558771 -0.56797728108485 16.7448492312594 237.090909090909 8 "Sti" "G2C" 4 7 25 45 NA NA
"5867" 2 2231 22310 199.729022052225 170.219280268902 -5.73416195827532 50.6388617669315 2.26867397357441 47.6376816953423 251.722222222222 8 "Sti" "G2C" 4 7 25 45 NA NA
"5868" 2 2232 22320 272.06468363914 192.621521939266 -10.1614808266504 89.7368833793531 1.6467437767472 85.1425218251965 253.363636363636 8 "Sti" "G2C" 4 7 25 45 NA NA
"6162" 2 2526 25260 10.2685257918915 204.47209003527 -0.127358268276785 1.81120382006845 1.5288263505202 1.38920596435526 310.181818181818 9 "Sti" "G2C" 4 7 25 45 NA NA
"6163" 2 2527 25270 20.4769827520545 212.121639814367 -2.44184953815052 21.5641766168811 1.27831651570222 18.4895627574644 238.777777777778 9 "Sti" "G2C" 4 7 25 45 NA NA
"6164" 2 2528 25280 39.514767039433 224.631244067692 -1.9244360991738 16.9948554495774 0.883715909773848 6.4971301428491 191.454545454545 9 "Sti" "G2C" 4 7 25 45 NA NA
"6165" 2 2529 25290 73.7108909899565 215.796703847889 -6.71014465504313 59.2578462372283 4.8337527303251 19.1602623360645 226.888888888889 9 "Sti" "G2C" 4 7 25 45 NA NA
"6166" 2 2530 25300 146.913508369105 221.381360214527 -7.52628527824644 66.4652520449987 -3.71821217552262 33.7315279097303 199.545454545455 9 "Sti" "G2C" 4 7 25 45 NA NA
"6167" 2 2531 25310 201.238811513948 213.41641638814 -6.11557153739091 54.0071215220548 2.03445039979425 36.1500231541417 234 9 "Sti" "G2C" 4 7 25 45 NA NA
"6168" 2 2532 25320 261.725330835935 210.880254334504 -6.92461672748451 61.1518669691598 -1.06164495088586 38.8598473757796 270.863636363636 9 "Sti" "G2C" 4 7 25 45 NA NA
"6462" 2 2826 28260 254.555112550142 202.261304668314 -9.81452609650801 86.6728972647458 1.49379169037348 67.0156838263945 311.772727272727 10 "Sti" "G2C" 4 7 25 45 NA NA
"6463" 2 2827 28270 339.39091427446 197.296227681614 -8.06187831295223 71.195118736095 -2.68058956414592 57.8852557864219 324.055555555556 10 "Sti" "G2C" 4 7 25 45 NA NA
